Date,Heure,Energie,Index,
06/11/2019,12:00,Pisc,0,
06/11/2020,12:00,Pisc,0,
19/03/2021,11:00,Pisc,0.2,
20/03/2021,11:00,Haut,100018,
20/03/2021,11:00,Bas,177160,
20/03/2021,11:00,Eau,1819.19,
11/04/2021,22:20,Pisc,4.9,
11/04/2021,22:20,Haut,100291.8,
11/04/2021,22:20,Bas,177292,
11/04/2021,22:20,Eau,1825.938,
10/05/2021,22:20,Pisc,252.7,
10/05/2021,22:20,Haut,100714.7,
10/05/2021,22:20,Bas,177615.4,
10/05/2021,22:20,Eau,1837.359,
07/06/2021,22:00,Pisc,808.8,
07/06/2021,22:00,Haut,101182.7,
07/06/2021,22:00,Bas,178184.8,
07/06/2021,22:00,Eau,1848.817,
08/08/2021,19:31,Eau,1867.6,
08/08/2021,19:31,Pisc,1775.2,
14/09/2021,07:00,Eau,1879.45,
14/09/2021,07:00,Pisc,2408.09,
14/09/2021,07:00,Haut,102424,
14/09/2021,07:00,Bas,179843,
12/10/2021,09:00,Eau,1887.6,
12/10/2021,09:00,Pisc,2838.1,
12/10/2021,09:00,Haut,102748.8,
12/10/2021,09:00,Bas,180370,
08/11/2021,21:55,Eau,1896.145,
10/12/2021,16:55,Eau,1906,
10/12/2021,16:55,Pisc,3047.9,
10/12/2021,16:55,Haut,103388.8,
10/12/2021,16:55,Bas,180994.5,
09/01/2022,14:00,Eau,1915,
09/01/2022,14:00,Pisc,3059.9,
09/01/2022,14:00,Haut,103807,
09/01/2022,14:00,Bas,181210,
07/02/2022,14:00,Eau,1921.83,
07/02/2022,14:00,Pisc,3060,
07/02/2022,14:00,Haut,104183.2,
09/02/2022,14:00,Bas,181403.4,
12/05/2022,13:27,Haut,105278.9,
12/05/2022,13:27,Bas,182384,
12/05/2022,13:27,Eau,1947.65,
12/05/2022,13:27,Pisc,3684.1,
10/06/2022,19:00,Haut,106610,
10/06/2022,19:00,Bas,182830,
10/06/2022,19:00,Pisc,4089.1,
10/06/2022,19:00,Eau,1956.27,
07/07/2022,19:00,Haut,105911,
07/07/2022,19:00,Bas,183158,
07/07/2022,19:00,Pisc,4414.7,
07/07/2022,19:00,Eau,1964.21,
08/08/2022,21:00,Haut,106290,
08/08/2022,21:00,Bas,183523,
08/08/2022,21:00,Pisc,4823.2,
08/08/2022,21:00,Eau,1974.53,
11/09/2022,11:30,Haut,106599.9,
11/09/2022,11:30,Bas,183915.5,
11/09/2022,11:30,Pisc,5202.5,
11/09/2022,11:30,Eau,1983.55,
08/10/2022,11:30,Haut,106898,
08/10/2022,11:30,Bas,184159,
08/10/2022,11:30,Pisc,5364.3,
08/10/2022,11:30,Eau,1989.65,
05/11/2022,11:30,Haut,107140,
05/11/2022,11:30,Bas,184295,
